year,month,graph_type,metric_type,metric_name,node,value
2021,1,A,global_metrics,trans,global,0.43416803776544216
2021,1,A,global_metrics,avg_clustering,global,0.42909481663242394
2021,1,H,global_metrics,trans,global,0.13277463193657985
2021,1,H,global_metrics,avg_clustering,global,0.12069356352401664
2021,2,A,global_metrics,trans,global,0.43140567329324825
2021,2,A,global_metrics,avg_clustering,global,0.42278613054527503
2021,2,H,global_metrics,trans,global,0.12435076395542333
2021,2,H,global_metrics,avg_clustering,global,0.11738020867689564
2021,3,A,global_metrics,trans,global,0.44089741369866886
2021,3,A,global_metrics,avg_clustering,global,0.4252442006411556
2021,3,H,global_metrics,trans,global,0.14171904399695745
2021,3,H,global_metrics,avg_clustering,global,0.10792887364690627
2021,4,A,global_metrics,trans,global,0.43825357846065355
2021,4,A,global_metrics,avg_clustering,global,0.426167413364577
2021,4,H,global_metrics,trans,global,0.15496153846153846
2021,4,H,global_metrics,avg_clustering,global,0.136316265414852
2021,5,A,global_metrics,trans,global,0.481876851430075
2021,5,A,global_metrics,avg_clustering,global,0.4480946204856631
2021,5,H,global_metrics,trans,global,0.12359379750684099
2021,5,H,global_metrics,avg_clustering,global,0.10411478685189642
2021,6,A,global_metrics,trans,global,0.46286256894450095
2021,6,A,global_metrics,avg_clustering,global,0.4466781100098252
2021,6,H,global_metrics,trans,global,0.12416171680398544
2021,6,H,global_metrics,avg_clustering,global,0.10377672810255205
2021,7,A,global_metrics,trans,global,0.4541654535623674
2021,7,A,global_metrics,avg_clustering,global,0.4364163688727953
2021,7,H,global_metrics,trans,global,0.150023813303699
2021,7,H,global_metrics,avg_clustering,global,0.1208646873747928
2021,8,A,global_metrics,trans,global,0.4294433553531127
2021,8,A,global_metrics,avg_clustering,global,0.42057221062613337
2021,8,H,global_metrics,trans,global,0.1349505697383571
2021,8,H,global_metrics,avg_clustering,global,0.11441274078895611
2021,9,A,global_metrics,trans,global,0.4689755435857039
2021,9,A,global_metrics,avg_clustering,global,0.4492441461067809
2021,9,H,global_metrics,trans,global,0.12602057478772044
2021,9,H,global_metrics,avg_clustering,global,0.11069827166266025
2021,10,A,global_metrics,trans,global,0.4455083095463495
2021,10,A,global_metrics,avg_clustering,global,0.4247087766741613
2021,10,H,global_metrics,trans,global,0.13005993923967485
2021,10,H,global_metrics,avg_clustering,global,0.11647775506909606
2021,11,A,global_metrics,trans,global,0.4230116048683838
2021,11,A,global_metrics,avg_clustering,global,0.40901551219946647
2021,11,H,global_metrics,trans,global,0.14389842464142957
2021,11,H,global_metrics,avg_clustering,global,0.11013712579348152
2021,12,A,global_metrics,trans,global,0.4430332204277548
2021,12,A,global_metrics,avg_clustering,global,0.43610658487190823
2021,12,H,global_metrics,trans,global,0.12738255033557047
2021,12,H,global_metrics,avg_clustering,global,0.11213723969016202
