year,month,graph_type,metric_type,metric_name,node,value
2020,1,A,global_metrics,trans,global,0.4745538261562074
2020,1,A,global_metrics,avg_clustering,global,0.4466790352645688
2020,1,H,global_metrics,trans,global,0.15572205612189763
2020,1,H,global_metrics,avg_clustering,global,0.12695098966177515
2020,2,A,global_metrics,trans,global,0.4336199484092863
2020,2,A,global_metrics,avg_clustering,global,0.4020586928162198
2020,2,H,global_metrics,trans,global,0.13791023166023167
2020,2,H,global_metrics,avg_clustering,global,0.11871602500702662
2020,3,A,global_metrics,trans,global,0.4487057732231989
2020,3,A,global_metrics,avg_clustering,global,0.4342954466331025
2020,3,H,global_metrics,trans,global,0.12168444079846868
2020,3,H,global_metrics,avg_clustering,global,0.10693043700480628
2020,4,A,global_metrics,trans,global,0.44898470794685386
2020,4,A,global_metrics,avg_clustering,global,0.4370767169282842
2020,4,H,global_metrics,trans,global,0.1363944196126236
2020,4,H,global_metrics,avg_clustering,global,0.1057837652266114
2020,5,A,global_metrics,trans,global,0.44997056664655993
2020,5,A,global_metrics,avg_clustering,global,0.42848690487368035
2020,5,H,global_metrics,trans,global,0.11323967645806726
2020,5,H,global_metrics,avg_clustering,global,0.10728124334383884
2020,6,A,global_metrics,trans,global,0.43771391899600687
2020,6,A,global_metrics,avg_clustering,global,0.41917802417199845
2020,6,H,global_metrics,trans,global,0.11888563341113373
2020,6,H,global_metrics,avg_clustering,global,0.10235868967265875
2020,7,A,global_metrics,trans,global,0.4610037001022895
2020,7,A,global_metrics,avg_clustering,global,0.43307286215736945
2020,7,H,global_metrics,trans,global,0.16918844566712518
2020,7,H,global_metrics,avg_clustering,global,0.13250750590255336
2020,8,A,global_metrics,trans,global,0.4417955255344746
2020,8,A,global_metrics,avg_clustering,global,0.42485332688071287
2020,8,H,global_metrics,trans,global,0.16945171723394425
2020,8,H,global_metrics,avg_clustering,global,0.12883407703659705
2020,9,A,global_metrics,trans,global,0.43539758497842473
2020,9,A,global_metrics,avg_clustering,global,0.43024383692984763
2020,9,H,global_metrics,trans,global,0.13802184184029123
2020,9,H,global_metrics,avg_clustering,global,0.10856776802962954
2020,10,A,global_metrics,trans,global,0.45898843798704897
2020,10,A,global_metrics,avg_clustering,global,0.459988967425088
2020,10,H,global_metrics,trans,global,0.14114527060210194
2020,10,H,global_metrics,avg_clustering,global,0.12340803752033903
2020,11,A,global_metrics,trans,global,0.4332587425190169
2020,11,A,global_metrics,avg_clustering,global,0.41617166939901523
2020,11,H,global_metrics,trans,global,0.13790766286580017
2020,11,H,global_metrics,avg_clustering,global,0.11988861306006489
2020,12,A,global_metrics,trans,global,0.42071094082588334
2020,12,A,global_metrics,avg_clustering,global,0.405759353255921
2020,12,H,global_metrics,trans,global,0.13210556844547564
2020,12,H,global_metrics,avg_clustering,global,0.10569950350238953
