year,month,graph_type,metric_type,metric_name,node,value
2019,1,A,global_metrics,trans,global,0.47622676131901626
2019,1,A,global_metrics,avg_clustering,global,0.4446844031422465
2019,1,H,global_metrics,trans,global,0.16493784362050753
2019,1,H,global_metrics,avg_clustering,global,0.14751486681528206
2019,2,A,global_metrics,trans,global,0.48132668832602593
2019,2,A,global_metrics,avg_clustering,global,0.45016349487918755
2019,2,H,global_metrics,trans,global,0.1329823140272715
2019,2,H,global_metrics,avg_clustering,global,0.12070323809003762
2019,3,A,global_metrics,trans,global,0.443951338882632
2019,3,A,global_metrics,avg_clustering,global,0.43763828376145425
2019,3,H,global_metrics,trans,global,0.1551124507303501
2019,3,H,global_metrics,avg_clustering,global,0.12219023726102793
2019,4,A,global_metrics,trans,global,0.468926285568533
2019,4,A,global_metrics,avg_clustering,global,0.4463022420659605
2019,4,H,global_metrics,trans,global,0.1580397224867365
2019,4,H,global_metrics,avg_clustering,global,0.1300459701068374
2019,5,A,global_metrics,trans,global,0.48408309752225825
2019,5,A,global_metrics,avg_clustering,global,0.45459308376041785
2019,5,H,global_metrics,trans,global,0.13218390804597702
2019,5,H,global_metrics,avg_clustering,global,0.09911409569479483
2019,6,A,global_metrics,trans,global,0.4804708048395581
2019,6,A,global_metrics,avg_clustering,global,0.45935623042630275
2019,6,H,global_metrics,trans,global,0.13950088754307194
2019,6,H,global_metrics,avg_clustering,global,0.11241451373065149
2019,7,A,global_metrics,trans,global,0.4637519497672537
2019,7,A,global_metrics,avg_clustering,global,0.43715050397977645
2019,7,H,global_metrics,trans,global,0.14530696238710414
2019,7,H,global_metrics,avg_clustering,global,0.11337622943725773
2019,8,A,global_metrics,trans,global,0.4799024210179991
2019,8,A,global_metrics,avg_clustering,global,0.44654984020485317
2019,8,H,global_metrics,trans,global,0.1677506858604852
2019,8,H,global_metrics,avg_clustering,global,0.13313797112895365
2019,9,A,global_metrics,trans,global,0.47964484222677284
2019,9,A,global_metrics,avg_clustering,global,0.4499839086142796
2019,9,H,global_metrics,trans,global,0.14970526458432143
2019,9,H,global_metrics,avg_clustering,global,0.11737380175698826
2019,10,A,global_metrics,trans,global,0.4825387091828913
2019,10,A,global_metrics,avg_clustering,global,0.4492967570636543
2019,10,H,global_metrics,trans,global,0.14017179136063737
2019,10,H,global_metrics,avg_clustering,global,0.11831996571509913
2019,11,A,global_metrics,trans,global,0.47668237117992757
2019,11,A,global_metrics,avg_clustering,global,0.44120629863941974
2019,11,H,global_metrics,trans,global,0.15394736842105264
2019,11,H,global_metrics,avg_clustering,global,0.12062565417647904
2019,12,A,global_metrics,trans,global,0.46789022113217626
2019,12,A,global_metrics,avg_clustering,global,0.4413905263459242
2019,12,H,global_metrics,trans,global,0.14086017784851734
2019,12,H,global_metrics,avg_clustering,global,0.12316044183785545
