year,month,graph_type,metric_type,metric_name,node,value
2020,1,A,nodal_metrics,BC,0,0.0017816216128999272
2020,1,A,nodal_metrics,BC,1,0.0
2020,1,A,nodal_metrics,BC,2,0.00015355930400940258
2020,1,A,nodal_metrics,BC,3,0.0024603123219232126
2020,1,A,nodal_metrics,BC,4,0.0
2020,1,A,nodal_metrics,BC,5,8.750636040422475e-06
2020,1,A,nodal_metrics,BC,6,0.0016385179888766456
2020,1,A,nodal_metrics,BC,7,1.0883287623525315e-06
2020,1,A,nodal_metrics,BC,8,0.0
2020,1,A,nodal_metrics,BC,9,0.0001886499730349875
2020,1,A,nodal_metrics,BC,10,0.0016949671041489533
2020,1,A,nodal_metrics,BC,11,0.0012819276874853386
2020,1,A,nodal_metrics,BC,12,8.656509695290858e-06
2020,1,A,nodal_metrics,BC,13,0.025918454116557514
2020,1,A,nodal_metrics,BC,14,0.0013555794724493264
2020,1,A,nodal_metrics,BC,15,0.0012588899487205544
2020,1,A,nodal_metrics,BC,16,0.0012827357872747418
2020,1,A,nodal_metrics,BC,17,0.0004007882227230863
2020,1,A,nodal_metrics,BC,18,0.001981617262817903
2020,1,A,nodal_metrics,BC,19,0.002462294163570711
2020,1,A,nodal_metrics,BC,20,0.0013112956618002644
2020,1,A,nodal_metrics,BC,21,0.005858607531214837
2020,1,A,nodal_metrics,BC,22,0.00042939249070656236
2020,1,A,nodal_metrics,BC,23,0.00023258780666389906
2020,1,A,nodal_metrics,BC,24,0.0002417173021308628
2020,1,A,nodal_metrics,BC,25,3.536876937748003e-05
2020,1,A,nodal_metrics,BC,26,0.00020199991322450496
2020,1,A,nodal_metrics,BC,27,0.0
2020,1,A,nodal_metrics,BC,28,0.0
2020,1,A,nodal_metrics,BC,29,0.0006676228726391929
2020,1,A,nodal_metrics,BC,30,0.0
2020,1,A,nodal_metrics,BC,31,0.0035382124314738213
2020,1,A,nodal_metrics,BC,32,0.0
2020,1,A,nodal_metrics,BC,33,0.00019458526962378187
2020,1,A,nodal_metrics,BC,34,0.001026527859846763
2020,1,A,nodal_metrics,BC,35,0.0010670662928939372
2020,1,A,nodal_metrics,BC,36,0.00029393643876670424
2020,1,A,nodal_metrics,BC,37,3.352825080252502e-05
2020,1,A,nodal_metrics,BC,38,0.0006096813911227833
2020,1,A,nodal_metrics,BC,39,0.0008487576542502233
2020,1,A,nodal_metrics,BC,40,0.014502107324311316
2020,1,A,nodal_metrics,BC,41,0.00019691566623507016
2020,1,A,nodal_metrics,BC,42,0.000145830430604323
2020,1,A,nodal_metrics,BC,43,0.0008751182988639915
2020,1,A,nodal_metrics,BC,44,0.0025880773041556636
2020,1,A,nodal_metrics,BC,45,0.021953177065539873
2020,1,A,nodal_metrics,BC,46,0.0
