year,month,node_id,node_name,metric,value
2019,12,236,USA,BC,0.060059771700947576
2019,12,159,NZL,BC,0.0066457050399889046
2019,12,162,NGA,BC,0.00608814101425464
2019,12,126,LBR,BC,0.002667993748591819
2019,12,19,BRB,BC,0.001429314610288434
2019,12,192,WSM,BC,0.00026702696043831705
2020,01,236,USA,BC,0.05050355409540348
2020,01,162,NGA,BC,0.00490671956174928
2020,01,111,JAM,BC,0.004864581586391719
2020,01,13,AUS,BC,0.02338949087412615
2020,01,139,MHL,BC,0.00043071485724299996
2020,02,236,USA,BC,0.04954944744724603
2020,02,65,EGY,BC,0.008203226592077227
2020,02,13,AUS,BC,0.025918454116557514
2020,02,74,FJI,BC,0.0011901903672022322
2020,02,155,NRU,BC,0.000575399650167646
2020,03,76,FRA,BC,0.029199081803614104
2020,03,162,NGA,BC,0.004989128821407732
2020,03,236,USA,BC,0.05358200133503871
2020,03,88,GRD,BC,0.0006273973185041654
2020,03,74,FJI,BC,0.0013664592259563725
2020,04,45,CHN,BC,0.04047995019577554
2020,04,162,NGA,BC,0.007806612159837345
2020,04,236,USA,BC,0.05037198103189708
2020,04,74,FJI,BC,0.0009639278728735685
2020,05,45,CHN,BC,0.045453999958871956
2020,05,231,UGA,BC,0.007920818163378581
2020,05,236,USA,BC,0.06499861744126863
2020,05,111,JAM,BC,0.0025898987356187246
2020,05,74,FJI,BC,0.0029016003448205214
2020,06,162,NGA,BC,0.008911642840532977
2020,06,45,CHN,BC,0.049091912237423756
2020,06,234,GBR,BC,0.031407747577507736
2020,06,15,AZE,BC,0.006461517223442646
2020,06,111,JAM,BC,0.0034198073265035234
2020,06,236,USA,BC,0.046464486571733785
2020,06,74,FJI,BC,0.003246938763804534
2020,07,236,USA,BC,0.045311757973367915
2020,07,162,NGA,BC,0.008052425662628003
2020,07,56,CUB,BC,0.006681605292530171
2020,07,204,SLB,BC,0.0005189371188512563
2020,08,45,CHN,BC,0.02790382554982297
2020,08,162,NGA,BC,0.011681125507448717
2020,08,236,USA,BC,0.07065583664482106
2020,08,239,VUT,BC,0.000434514490600278
2020,08,111,JAM,BC,0.0021844142834560195
2020,08,9,ATG,BC,0.00025750701541120744
2020,09,236,USA,BC,0.047346397585847085
2020,09,162,NGA,BC,0.007638042310281623
2020,09,56,CUB,BC,0.005961525402665283
2020,09,184,RWA,BC,0.0018912778255169133
2020,09,12,ABW,BC,0.003422514263203366
2020,09,9,ATG,BC,0.0038025245038881463
2020,09,139,MHL,BC,0.00048796974600314906
2020,09,172,PNG,BC,0.0011174104964541051
2020,10,45,CHN,BC,0.03538831353465047
2020,10,236,USA,BC,0.07035539721644735
2020,10,116,KEN,BC,0.004347964884954789
2020,10,155,NRU,BC,0.0005940569789254966
2020,10,96,HTI,BC,0.0030559599160428883
2020,11,236,USA,BC,0.07990606152885854
2020,11,162,NGA,BC,0.007184889566772223
2020,11,144,MEX,BC,0.006116231860159106
2020,11,117,KIR,BC,0.000299995044660226
2020,12,236,USA,BC,0.0518107763545071
2020,12,116,KEN,BC,0.004383649220024284
2020,12,31,BRA,BC,0.00572479690254453
2020,12,74,FJI,BC,0.0019179423469868982
2020,12,155,NRU,BC,0.00048116035024541655
2021,01,45,CHN,BC,0.04265021016497577
2021,01,236,USA,BC,0.05995262266868893
2021,01,162,NGA,BC,0.009944227791517978
2021,01,209,ESP,BC,0.010521346384332829
2021,01,225,TTO,BC,0.0007808139062569651
2021,02,45,CHN,BC,0.03310836214136707
2021,02,236,USA,BC,0.054416221094003674
2021,02,162,NGA,BC,0.010293101739042547
2021,02,19,BRB,BC,0.0029291977673058973
2021,02,239,VUT,BC,0.00041436430298396335
2021,03,236,USA,BC,0.06402289227685155
2021,03,83,DEU,BC,0.014213248555286911
2021,03,109,ISR,BC,0.005503483686641972
2021,03,50,COD,BC,0.002145700443802713
2021,03,16,BHS,BC,0.0018314066461325824
2021,03,88,GRD,BC,0.0002688192161774951
2021,03,139,MHL,BC,0.00045022709643238604
2021,04,236,USA,BC,0.057395072048612716
2021,04,231,UGA,BC,0.0072643523782290245
2021,04,56,CUB,BC,0.007010062509071364
2021,04,13,AUS,BC,0.021315252742669568
2021,04,88,GRD,BC,0.0022316890136111
2021,05,236,USA,BC,0.05221330301833294
2021,05,162,NGA,BC,0.008753771430192818
2021,05,40,CAN,BC,0.012819000635684207
2021,05,88,GRD,BC,0.0014366995746191583
2021,05,172,PNG,BC,0.0012327197844279414
2021,06,236,USA,BC,0.03883568971978301
2021,06,162,NGA,BC,0.006675699634230758
2021,06,15,AZE,BC,0.0025730784715782924
2021,06,144,MEX,BC,0.005830669800974731
2021,06,24,BMU,BC,0.002192621873049136
2021,07,236,USA,BC,0.05521850492384785
2021,07,116,KEN,BC,0.007054026159463536
2021,07,144,MEX,BC,0.003555965361479718
2021,07,74,FJI,BC,0.001301842342212084
2021,08,236,USA,BC,0.06330315670616292
2021,08,65,EGY,BC,0.007537030491697163
2021,08,56,CUB,BC,0.00343120568310362
2021,08,74,FJI,BC,0.0021422921208229064
2021,08,19,BRB,BC,0.004319896077070153
2021,09,76,FRA,BC,0.018722343166641214
2021,09,162,NGA,BC,0.011636306243255099
2021,09,40,CAN,BC,0.014439667230609977
2021,09,236,USA,BC,0.06384049592212919
2021,09,74,FJI,BC,0.0024703916549235127
2021,10,45,CHN,BC,0.02890511233190202
2021,10,162,NGA,BC,0.008064176431127957
2021,10,236,USA,BC,0.03976951670248789
2021,10,88,GRD,BC,0.0012276564734203692
2021,10,159,NZL,BC,0.008106187415664379
2021,10,169,PLW,BC,0.00042307722841265083
2021,11,236,USA,BC,0.03971714338377496
2021,11,162,NGA,BC,0.007087182526367019
2021,11,56,CUB,BC,0.0028973902767658283
2021,11,198,SYC,BC,0.005761628288729747
2021,11,74,FJI,BC,0.003328178252226206
2021,12,236,USA,BC,0.047094249028144373
2021,12,162,NGA,BC,0.007847115679855663
2021,12,56,CUB,BC,0.006067748200265542
2021,12,19,BRB,BC,0.0013398494791657398
2021,12,74,FJI,BC,0.0032117961283664115
2022,01,236,USA,BC,0.06695202937320006
2022,01,45,CHN,BC,0.041819954028806394
2022,01,217,TWN,BC,0.009659114704467307
2022,01,9,ATG,BC,0.0018069296267338684
2022,02,45,CHN,BC,0.03725675917651835
2022,02,183,RUS,BC,0.014300895377578874
2022,02,236,USA,BC,0.06706902053292031
2022,02,16,BHS,BC,0.0048880722219513265
2022,02,64,ECU,BC,0.001243898404319438
2022,02,159,NZL,BC,0.013402425194507378
2022,03,234,GBR,BC,0.03124645759338878
2022,03,162,NGA,BC,0.008157662796719567
2022,03,236,USA,BC,0.060126003975759915
2022,03,111,JAM,BC,0.00826116612446494
2022,03,145,FSM,BC,0.00027412166410376
2022,04,236,USA,BC,0.05346345056723102
2022,04,162,NGA,BC,0.00687615621902721
2022,04,56,CUB,BC,0.006638452257929474
2022,04,19,BRB,BC,0.0013724891164029862
2022,04,74,FJI,BC,0.006109765756292818
2022,04,192,WSM,BC,0.0003613899233601484
2022,05,234,GBR,BC,0.025062429246086065
2022,05,162,NGA,BC,0.014103951425058872
2022,05,56,CUB,BC,0.005865585442992947
2022,05,236,USA,BC,0.0623071920791239
2022,05,111,JAM,BC,0.0021457723227537237
2022,05,117,KIR,BC,0.0003017130923118334
2022,05,74,FJI,BC,0.0012556747492013722
2022,06,236,USA,BC,0.05024814244724292
2022,06,116,KEN,BC,0.008424508742973536
2022,06,31,BRA,BC,0.0060197278594740725
2022,06,56,CUB,BC,0.004876388976452248
2022,06,74,FJI,BC,0.003453154448237229
2022,07,76,FRA,BC,0.019226772019436403
2022,07,116,KEN,BC,0.006969111277101373
2022,07,236,USA,BC,0.06345551473383741
2022,07,110,ITA,BC,0.017954568073654118
2022,07,224,TON,BC,0.00042414107968706175
2022,07,111,JAM,BC,0.0019762919093588966
2022,08,76,FRA,BC,0.022485495360166557
2022,08,162,NGA,BC,0.006408805124818822
2022,08,236,USA,BC,0.053793637456684286
2022,08,9,ATG,BC,0.001048508062493446
2022,08,145,FSM,BC,0.00028859682057305586
2022,09,76,FRA,BC,0.01874605701683886
2022,09,116,KEN,BC,0.0045359803193501655
2022,09,236,USA,BC,0.05661777005616194
2022,09,16,BHS,BC,0.0016130618879135468
2022,09,230,TUV,BC,0.00045927088332511445
2022,10,236,USA,BC,0.06102276698247962
2022,10,162,NGA,BC,0.0102651601601595
2022,10,217,TWN,BC,0.009144450386414746
2022,10,111,JAM,BC,0.0034147793475300574
2022,10,74,FJI,BC,0.004967540175636308
2022,11,236,USA,BC,0.04786402338763045
2022,11,162,NGA,BC,0.006241361839761767
2022,11,56,CUB,BC,0.004292142970291519
2022,11,74,FJI,BC,0.002000461517627449
2022,12,183,RUS,BC,0.009965508264714104
2022,12,236,USA,BC,0.05517963544642926
2022,12,162,NGA,BC,0.010451118261997296
2022,12,144,MEX,BC,0.00577815810710161
2022,12,74,FJI,BC,0.0013910921297423905
2022,12,19,BRB,BC,0.0008623193694388005
2023,01,236,USA,BC,0.06608856346408327
2023,01,183,RUS,BC,0.012304389454070584
2023,01,31,BRA,BC,0.007283378386038474
2023,01,13,AUS,BC,0.027911602767402722
2023,01,137,MLI,BC,0.0009140387415744865
2023,02,234,GBR,BC,0.03711920532382775
2023,02,162,NGA,BC,0.009083091364391296
2023,02,144,MEX,BC,0.009446111272471563
2023,02,236,USA,BC,0.06252589141889552
2023,02,16,BHS,BC,0.0013752700350497928
2023,02,19,BRB,BC,0.0006466384533029411
2023,02,13,AUS,BC,0.017295662979256537
2023,03,45,CHN,BC,0.03313225573129801
2023,03,162,NGA,BC,0.006653316102187948
2023,03,236,USA,BC,0.06353569550620608
2023,03,74,FJI,BC,0.0012522183143042394
2023,04,236,USA,BC,0.04043528337977233
2023,04,162,NGA,BC,0.0076158757940188275
2023,04,159,NZL,BC,0.006503834323194055
2023,04,74,FJI,BC,0.001530027814605429
2023,05,234,GBR,BC,0.02465259126668011
2023,05,183,RUS,BC,0.01737634985326646
2023,05,236,USA,BC,0.04045348671702892
2023,05,24,BMU,BC,0.0018509912005446694
2023,05,74,FJI,BC,0.0017128568827229113
2023,05,239,VUT,BC,0.0002939511102094811
2023,06,236,USA,BC,0.046517443815188034
2023,06,162,NGA,BC,0.01056501053646068
2023,06,111,JAM,BC,0.0018733932107860057
2023,06,74,FJI,BC,0.002502650860906078
